HEART RATE DATE/TIME,VALUE
2017-10-02 00:00:02,76
2017-10-02 00:00:07,78
2017-10-02 00:00:12,79
2017-10-02 00:00:17,76
2017-10-02 00:00:22,75
2017-10-02 00:00:27,76
2017-10-02 00:00:32,77
2017-10-02 00:00:38,78
2017-10-02 00:00:43,78
2017-10-02 00:00:48,80
2017-10-02 00:00:53,77
2017-10-02 00:00:58,75
2017-10-02 00:01:08,76
2017-10-02 00:01:18,78
2017-10-02 00:01:23,75
2017-10-02 00:01:33,76
2017-10-02 00:01:43,77
2017-10-02 00:01:48,79
2017-10-02 00:01:53,78
2017-10-02 00:01:58,77
2017-10-02 00:02:08,78
2017-10-02 00:02:13,79
2017-10-02 00:02:18,76
2017-10-02 00:02:23,76
2017-10-02 00:02:28,77
2017-10-02 00:02:38,76
2017-10-02 00:02:53,77
2017-10-02 00:02:58,78
2017-10-02 00:03:03,75
2017-10-02 00:03:08,76
2017-10-02 00:03:13,77
2017-10-02 00:03:18,78
2017-10-02 00:03:23,77
2017-10-02 00:03:28,76
2017-10-02 00:03:35,78
2017-10-02 00:03:40,77
2017-10-02 00:03:45,74
2017-10-02 00:03:50,75
2017-10-02 00:03:55,76
2017-10-02 00:04:00,78
2017-10-02 00:04:10,77
2017-10-02 00:04:25,75
2017-10-02 00:04:30,74
2017-10-02 00:04:40,75
2017-10-02 00:04:45,77
2017-10-02 00:04:50,76
2017-10-02 00:04:55,77
2017-10-02 00:05:00,78
2017-10-02 00:05:15,78
2017-10-02 00:05:30,78
2017-10-02 00:05:35,77
2017-10-02 00:05:45,76
2017-10-02 00:05:50,78
2017-10-02 00:05:55,77
2017-10-02 00:06:00,76
2017-10-02 00:06:10,75
2017-10-02 00:06:20,76
2017-10-02 00:06:25,75
2017-10-02 00:06:40,74
2017-10-02 00:06:45,78
2017-10-02 00:06:50,81
2017-10-02 00:06:57,77
2017-10-02 00:07:02,75
2017-10-02 00:07:07,74
2017-10-02 00:07:12,69
2017-10-02 00:07:22,71
2017-10-02 00:07:27,73
2017-10-02 00:07:32,74
2017-10-02 00:07:37,75
2017-10-02 00:07:42,71
2017-10-02 00:07:47,69
2017-10-02 00:07:52,70
2017-10-02 00:07:57,73
2017-10-02 00:08:02,71
2017-10-02 00:08:07,69
2017-10-02 00:08:17,70
2017-10-02 00:08:22,73
2017-10-02 00:08:27,75
2017-10-02 00:08:32,76
2017-10-02 00:08:37,75
2017-10-02 00:08:42,76
2017-10-02 00:08:52,74
2017-10-02 00:09:07,74
2017-10-02 00:09:12,75
2017-10-02 00:09:17,76
2017-10-02 00:09:27,77
2017-10-02 00:09:32,76
2017-10-02 00:09:37,75
2017-10-02 00:09:44,75
2017-10-02 00:09:49,76
2017-10-02 00:10:04,76
2017-10-02 00:10:09,78
2017-10-02 00:10:14,76
2017-10-02 00:10:24,75
2017-10-02 00:10:29,74
2017-10-02 00:10:44,74
2017-10-02 00:10:59,74
2017-10-02 00:11:04,77
2017-10-02 00:11:14,76
2017-10-02 00:11:19,74
2017-10-02 00:11:24,75
2017-10-02 00:11:29,74
2017-10-02 00:11:34,73
2017-10-02 00:11:39,75
2017-10-02 00:11:49,73
2017-10-02 00:11:54,74
2017-10-02 00:11:59,75
2017-10-02 00:12:04,74
2017-10-02 00:12:19,75
2017-10-02 00:12:29,74
2017-10-02 00:12:44,74
2017-10-02 00:12:49,75
2017-10-02 00:12:54,74
2017-10-02 00:13:09,75
2017-10-02 00:13:14,74
2017-10-02 00:13:20,75
2017-10-02 00:13:30,74
2017-10-02 00:13:35,75
2017-10-02 00:13:40,77
2017-10-02 00:13:45,74
2017-10-02 00:14:00,75
2017-10-02 00:14:05,74
2017-10-02 00:14:20,74
2017-10-02 00:14:25,75
2017-10-02 00:14:35,76
2017-10-02 00:14:40,75
2017-10-02 00:14:45,74
2017-10-02 00:14:50,75
2017-10-02 00:15:05,75
2017-10-02 00:15:10,76
2017-10-02 00:15:15,78
2017-10-02 00:15:20,76
2017-10-02 00:15:25,75
2017-10-02 00:15:40,75
2017-10-02 00:15:45,74
2017-10-02 00:15:50,75
2017-10-02 00:15:55,72
2017-10-02 00:16:00,73
2017-10-02 00:16:05,74
2017-10-02 00:16:20,75
2017-10-02 00:16:25,76
2017-10-02 00:16:30,75
2017-10-02 00:16:37,74
2017-10-02 00:16:42,73
2017-10-02 00:16:47,74
2017-10-02 00:17:02,76
2017-10-02 00:17:07,73
2017-10-02 00:17:12,74
2017-10-02 00:17:17,75
2017-10-02 00:17:32,76
2017-10-02 00:17:47,77
2017-10-02 00:17:52,75
2017-10-02 00:18:02,77
2017-10-02 00:18:07,75
2017-10-02 00:18:12,73
2017-10-02 00:18:17,74
2017-10-02 00:18:22,75
2017-10-02 00:18:37,75
2017-10-02 00:18:42,73
2017-10-02 00:18:47,74
2017-10-02 00:18:52,75
2017-10-02 00:18:57,74
2017-10-02 00:19:02,74
2017-10-02 00:19:07,74
2017-10-02 00:19:12,73
2017-10-02 00:19:17,75
2017-10-02 00:19:22,76
2017-10-02 00:19:27,75
2017-10-02 00:19:37,74
2017-10-02 00:19:44,74
2017-10-02 00:19:54,75
2017-10-02 00:20:04,74
2017-10-02 00:20:09,74
2017-10-02 00:20:14,74
2017-10-02 00:20:19,74
2017-10-02 00:20:24,75
2017-10-02 00:20:29,72
2017-10-02 00:20:34,74
2017-10-02 00:20:39,75
2017-10-02 00:20:49,74
2017-10-02 00:20:59,74
2017-10-02 00:21:14,75
2017-10-02 00:21:19,74
2017-10-02 00:21:29,74
2017-10-02 00:21:34,74
2017-10-02 00:21:39,73
2017-10-02 00:21:44,75
2017-10-02 00:21:49,74
2017-10-02 00:22:04,74
2017-10-02 00:22:09,74
2017-10-02 00:22:19,76
2017-10-02 00:22:29,75
2017-10-02 00:22:44,75
2017-10-02 00:22:49,75
2017-10-02 00:22:54,75
2017-10-02 00:23:04,75
2017-10-02 00:23:11,75
2017-10-02 00:23:16,75
2017-10-02 00:23:21,74
2017-10-02 00:23:26,74
2017-10-02 00:23:41,75
2017-10-02 00:23:56,75
2017-10-02 00:24:06,73
2017-10-02 00:24:11,74
2017-10-02 00:24:21,74
2017-10-02 00:24:31,75
2017-10-02 00:24:36,76
2017-10-02 00:24:41,77
2017-10-02 00:24:46,77
2017-10-02 00:24:51,76
2017-10-02 00:25:01,76
2017-10-02 00:25:11,75
2017-10-02 00:25:26,75
2017-10-02 00:25:41,74
2017-10-02 00:25:46,75
2017-10-02 00:26:01,75
2017-10-02 00:26:06,75
2017-10-02 00:26:11,75
2017-10-02 00:26:21,76
2017-10-02 00:26:31,75
2017-10-02 00:26:36,76
2017-10-02 00:26:41,74
2017-10-02 00:26:46,73
2017-10-02 00:26:53,86
2017-10-02 00:26:58,87
2017-10-02 00:27:03,75
2017-10-02 00:27:08,72
2017-10-02 00:27:13,71
2017-10-02 00:27:28,72
2017-10-02 00:27:33,73
2017-10-02 00:27:38,72
2017-10-02 00:27:48,70
2017-10-02 00:27:53,71
2017-10-02 00:27:58,72
2017-10-02 00:28:08,73
2017-10-02 00:28:13,74
2017-10-02 00:28:18,73
2017-10-02 00:28:23,74
2017-10-02 00:28:28,79
2017-10-02 00:28:33,75
2017-10-02 00:28:38,74
2017-10-02 00:28:43,71
2017-10-02 00:28:53,72
2017-10-02 00:28:58,71
2017-10-02 00:29:08,72
2017-10-02 00:29:13,71
2017-10-02 00:29:18,73
2017-10-02 00:29:23,75
2017-10-02 00:29:28,73
2017-10-02 00:29:34,72
2017-10-02 00:29:39,74
2017-10-02 00:29:44,75
2017-10-02 00:29:49,74
2017-10-02 00:29:54,73
2017-10-02 00:29:59,74
2017-10-02 00:30:04,73
2017-10-02 00:30:09,72
2017-10-02 00:30:14,73
2017-10-02 00:30:19,74
2017-10-02 00:30:24,70
2017-10-02 00:30:29,69
2017-10-02 00:30:39,71
2017-10-02 00:30:44,72
2017-10-02 00:30:49,73
2017-10-02 00:30:54,71
2017-10-02 00:30:59,70
2017-10-02 00:31:14,70
2017-10-02 00:31:19,73
2017-10-02 00:31:24,72
2017-10-02 00:31:34,73
2017-10-02 00:31:49,82
2017-10-02 00:31:54,74
2017-10-02 00:31:59,67
2017-10-02 00:32:04,66
2017-10-02 00:32:09,67
2017-10-02 00:32:16,68
2017-10-02 00:32:21,67
2017-10-02 00:32:26,66
2017-10-02 00:32:31,68
2017-10-02 00:32:41,69
2017-10-02 00:32:46,70
2017-10-02 00:32:51,76
2017-10-02 00:32:56,73
2017-10-02 00:33:01,67
