HEART RATE DATE/TIME,VALUE
2017-10-03 00:00:02,79
2017-10-03 00:00:07,78
2017-10-03 00:00:17,77
2017-10-03 00:00:22,77
2017-10-03 00:00:37,77
2017-10-03 00:00:52,77
2017-10-03 00:00:55,77
2017-10-03 00:01:10,80
2017-10-03 00:01:15,79
2017-10-03 00:01:25,78
2017-10-03 00:01:30,79
2017-10-03 00:01:35,78
2017-10-03 00:01:40,79
2017-10-03 00:01:45,79
2017-10-03 00:01:50,78
2017-10-03 00:02:05,78
2017-10-03 00:02:15,79
2017-10-03 00:02:30,81
2017-10-03 00:02:35,82
2017-10-03 00:02:45,81
2017-10-03 00:02:50,80
2017-10-03 00:02:55,79
2017-10-03 00:03:00,79
2017-10-03 00:03:15,78
2017-10-03 00:03:20,79
2017-10-03 00:03:25,78
2017-10-03 00:03:30,79
2017-10-03 00:03:35,80
2017-10-03 00:03:40,79
2017-10-03 00:03:45,78
2017-10-03 00:03:55,79
2017-10-03 00:04:10,79
2017-10-03 00:04:25,79
2017-10-03 00:04:27,79
2017-10-03 00:04:32,80
2017-10-03 00:04:42,81
2017-10-03 00:04:47,81
2017-10-03 00:04:57,81
2017-10-03 00:05:02,79
2017-10-03 00:05:07,80
2017-10-03 00:05:12,79
2017-10-03 00:05:17,79
2017-10-03 00:05:22,81
2017-10-03 00:05:27,80
2017-10-03 00:05:32,82
2017-10-03 00:05:42,80
2017-10-03 00:05:47,79
2017-10-03 00:05:52,78
2017-10-03 00:05:57,77
2017-10-03 00:06:02,78
2017-10-03 00:06:17,78
2017-10-03 00:06:22,79
2017-10-03 00:06:37,79
2017-10-03 00:06:52,79
2017-10-03 00:06:57,80
2017-10-03 00:07:12,80
2017-10-03 00:07:22,81
2017-10-03 00:07:27,82
2017-10-03 00:07:32,81
2017-10-03 00:07:47,81
2017-10-03 00:07:48,81
2017-10-03 00:08:03,81
2017-10-03 00:08:18,81
2017-10-03 00:08:28,81
2017-10-03 00:08:33,81
2017-10-03 00:08:38,80
2017-10-03 00:08:43,79
2017-10-03 00:08:53,80
2017-10-03 00:09:08,80
2017-10-03 00:09:18,79
2017-10-03 00:09:23,78
2017-10-03 00:09:38,78
2017-10-03 00:09:48,77
2017-10-03 00:10:03,77
2017-10-03 00:10:08,77
2017-10-03 00:10:13,77
2017-10-03 00:10:18,78
2017-10-03 00:10:23,81
2017-10-03 00:10:28,81
2017-10-03 00:10:43,79
2017-10-03 00:10:48,77
2017-10-03 00:10:58,79
2017-10-03 00:11:03,80
2017-10-03 00:11:13,80
2017-10-03 00:11:18,79
2017-10-03 00:11:28,80
2017-10-03 00:11:43,79
2017-10-03 00:11:46,79
2017-10-03 00:11:51,81
2017-10-03 00:11:56,81
2017-10-03 00:12:06,83
2017-10-03 00:12:11,84
2017-10-03 00:12:21,85
2017-10-03 00:12:26,83
2017-10-03 00:12:31,81
2017-10-03 00:12:36,79
2017-10-03 00:12:41,79
2017-10-03 00:12:51,80
2017-10-03 00:12:56,82
2017-10-03 00:13:01,83
2017-10-03 00:13:16,82
2017-10-03 00:13:21,81
2017-10-03 00:13:36,81
2017-10-03 00:13:41,80
2017-10-03 00:13:46,80
2017-10-03 00:14:01,80
2017-10-03 00:14:11,79
2017-10-03 00:14:26,79
2017-10-03 00:14:41,81
2017-10-03 00:14:51,82
2017-10-03 00:15:01,85
2017-10-03 00:15:16,85
2017-10-03 00:15:31,85
2017-10-03 00:15:46,85
2017-10-03 00:15:48,85
2017-10-03 00:15:58,86
2017-10-03 00:16:13,86
2017-10-03 00:16:23,86
2017-10-03 00:16:38,86
2017-10-03 00:16:53,86
2017-10-03 00:17:08,86
2017-10-03 00:17:13,86
2017-10-03 00:17:23,86
2017-10-03 00:17:28,86
2017-10-03 00:17:43,86
2017-10-03 00:17:48,85
2017-10-03 00:17:53,83
2017-10-03 00:18:08,83
2017-10-03 00:18:13,82
2017-10-03 00:18:28,82
2017-10-03 00:18:33,81
2017-10-03 00:18:43,80
2017-10-03 00:18:48,80
2017-10-03 00:19:03,80
2017-10-03 00:19:18,80
2017-10-03 00:19:33,80
2017-10-03 00:19:48,80
2017-10-03 00:20:03,79
2017-10-03 00:20:18,80
2017-10-03 00:20:28,81
2017-10-03 00:20:43,83
2017-10-03 00:20:45,83
2017-10-03 00:20:50,84
2017-10-03 00:21:05,84
2017-10-03 00:21:20,83
2017-10-03 00:21:25,83
2017-10-03 00:21:40,83
2017-10-03 00:21:45,83
2017-10-03 00:21:55,84
2017-10-03 00:22:00,89
2017-10-03 00:22:15,88
2017-10-03 00:22:20,87
2017-10-03 00:22:25,85
2017-10-03 00:22:30,85
2017-10-03 00:22:45,85
2017-10-03 00:22:55,86
2017-10-03 00:23:05,87
2017-10-03 00:23:10,88
2017-10-03 00:23:25,89
2017-10-03 00:23:40,89
2017-10-03 00:23:50,90
2017-10-03 00:24:05,90
2017-10-03 00:24:20,90
2017-10-03 00:24:35,90
2017-10-03 00:24:50,90
2017-10-03 00:25:00,82
2017-10-03 00:25:05,82
2017-10-03 00:25:20,81
2017-10-03 00:25:22,81
2017-10-03 00:25:27,81
2017-10-03 00:25:42,81
2017-10-03 00:25:57,81
2017-10-03 00:26:12,81
2017-10-03 00:26:27,81
2017-10-03 00:26:42,81
2017-10-03 00:26:57,81
2017-10-03 00:27:02,81
2017-10-03 00:27:07,83
2017-10-03 00:27:17,84
2017-10-03 00:27:22,86
2017-10-03 00:27:32,91
2017-10-03 00:27:42,88
2017-10-03 00:27:47,86
2017-10-03 00:27:52,85
2017-10-03 00:27:57,83
2017-10-03 00:28:02,81
2017-10-03 00:28:07,79
2017-10-03 00:28:12,77
2017-10-03 00:28:17,76
2017-10-03 00:28:27,75
2017-10-03 00:28:42,75
2017-10-03 00:28:47,76
2017-10-03 00:29:02,77
2017-10-03 00:29:17,76
2017-10-03 00:29:22,77
2017-10-03 00:29:30,79
2017-10-03 00:29:35,82
2017-10-03 00:29:40,85
2017-10-03 00:29:45,87
2017-10-03 00:29:50,82
2017-10-03 00:29:55,78
2017-10-03 00:30:00,76
2017-10-03 00:30:05,74
2017-10-03 00:30:10,73
2017-10-03 00:30:15,72
2017-10-03 00:30:20,69
2017-10-03 00:30:30,70
2017-10-03 00:30:45,71
2017-10-03 00:30:50,72
2017-10-03 00:31:00,73
2017-10-03 00:31:05,74
2017-10-03 00:31:15,75
2017-10-03 00:31:30,75
2017-10-03 00:31:45,75
2017-10-03 00:31:50,76
2017-10-03 00:32:05,76
2017-10-03 00:32:10,75
2017-10-03 00:32:15,76
2017-10-03 00:32:30,75
2017-10-03 00:32:35,76
2017-10-03 00:32:45,77
2017-10-03 00:32:50,73
2017-10-03 00:32:57,71
2017-10-03 00:33:07,72
2017-10-03 00:33:17,71
2017-10-03 00:33:32,73
2017-10-03 00:33:37,74
2017-10-03 00:33:47,75
2017-10-03 00:33:57,74
2017-10-03 00:34:02,75
2017-10-03 00:34:07,76
2017-10-03 00:34:12,75
2017-10-03 00:34:22,73
2017-10-03 00:34:32,74
2017-10-03 00:34:37,75
2017-10-03 00:34:47,76
2017-10-03 00:35:02,76
2017-10-03 00:35:07,77
2017-10-03 00:35:12,76
2017-10-03 00:35:17,75
2017-10-03 00:35:32,75
2017-10-03 00:35:42,74
2017-10-03 00:35:47,75
2017-10-03 00:35:52,74
2017-10-03 00:36:07,73
2017-10-03 00:36:17,75
2017-10-03 00:36:27,74
2017-10-03 00:36:32,76
2017-10-03 00:36:37,75
2017-10-03 00:36:43,75
2017-10-03 00:36:48,76
2017-10-03 00:36:53,80
2017-10-03 00:36:58,77
2017-10-03 00:37:08,76
2017-10-03 00:37:13,71
2017-10-03 00:37:18,69
2017-10-03 00:37:28,70
2017-10-03 00:37:33,71
2017-10-03 00:37:38,73
2017-10-03 00:37:48,74
2017-10-03 00:37:58,73
2017-10-03 00:38:03,74
2017-10-03 00:38:08,75
2017-10-03 00:38:23,76
2017-10-03 00:38:28,75
2017-10-03 00:38:33,73
2017-10-03 00:38:48,73
2017-10-03 00:38:53,74
2017-10-03 00:38:58,75
2017-10-03 00:39:03,77
2017-10-03 00:39:08,75
2017-10-03 00:39:13,72
2017-10-03 00:39:23,73
2017-10-03 00:39:28,74
2017-10-03 00:39:33,75
2017-10-03 00:39:38,76
2017-10-03 00:39:45,77
2017-10-03 00:39:50,74
2017-10-03 00:40:00,75
2017-10-03 00:40:10,76
2017-10-03 00:40:15,73
2017-10-03 00:40:20,71
2017-10-03 00:40:30,72
2017-10-03 00:40:35,73
2017-10-03 00:40:40,74
2017-10-03 00:40:45,75
2017-10-03 00:40:55,76
2017-10-03 00:41:00,75
2017-10-03 00:41:10,74
2017-10-03 00:41:15,70
2017-10-03 00:41:25,71
2017-10-03 00:41:30,72
2017-10-03 00:41:45,72
2017-10-03 00:41:50,73
2017-10-03 00:41:55,72
2017-10-03 00:42:00,70
2017-10-03 00:42:10,71
2017-10-03 00:42:20,74
2017-10-03 00:42:25,73
2017-10-03 00:42:30,72
2017-10-03 00:42:45,72
2017-10-03 00:42:50,77
2017-10-03 00:42:55,72
2017-10-03 00:43:02,68
2017-10-03 00:43:07,69
2017-10-03 00:43:12,70
2017-10-03 00:43:17,73
2017-10-03 00:43:22,70
2017-10-03 00:43:27,68
2017-10-03 00:43:32,70
2017-10-03 00:43:37,71
2017-10-03 00:43:42,70
2017-10-03 00:43:47,71
2017-10-03 00:43:52,70
2017-10-03 00:44:02,72
2017-10-03 00:44:12,73
2017-10-03 00:44:17,72
2017-10-03 00:44:22,71
2017-10-03 00:44:27,72
2017-10-03 00:44:32,75
2017-10-03 00:44:42,75
2017-10-03 00:44:52,78
2017-10-03 00:44:57,74
2017-10-03 00:45:02,71
2017-10-03 00:45:07,68
2017-10-03 00:45:12,66
2017-10-03 00:45:17,66
2017-10-03 00:45:27,62
2017-10-03 00:45:37,64
2017-10-03 00:45:42,65
2017-10-03 00:45:48,66
2017-10-03 00:45:53,67
2017-10-03 00:46:08,67
2017-10-03 00:46:18,68
2017-10-03 00:46:28,66
2017-10-03 00:46:38,67
2017-10-03 00:46:43,68
2017-10-03 00:46:48,68
2017-10-03 00:46:53,67
2017-10-03 00:47:03,69
2017-10-03 00:47:08,70
2017-10-03 00:47:13,69
2017-10-03 00:47:18,67
2017-10-03 00:47:33,67
2017-10-03 00:47:38,69
2017-10-03 00:47:43,68
2017-10-03 00:47:48,66
2017-10-03 00:47:53,67
2017-10-03 00:47:58,68
2017-10-03 00:48:08,70
2017-10-03 00:48:13,67
2017-10-03 00:48:23,68
2017-10-03 00:48:33,69
2017-10-03 00:48:38,70
2017-10-03 00:48:43,69
2017-10-03 00:48:58,68
2017-10-03 00:49:03,66
2017-10-03 00:49:10,66
2017-10-03 00:49:15,67
2017-10-03 00:49:25,69
2017-10-03 00:49:35,68
2017-10-03 00:49:40,69
2017-10-03 00:49:45,68
2017-10-03 00:49:50,67
2017-10-03 00:50:00,68
2017-10-03 00:50:05,70
2017-10-03 00:50:20,69
2017-10-03 00:50:25,68
2017-10-03 00:50:30,67
2017-10-03 00:50:40,69
2017-10-03 00:50:45,68
2017-10-03 00:50:50,65
2017-10-03 00:50:55,66
2017-10-03 00:51:00,68
2017-10-03 00:51:05,69
2017-10-03 00:51:10,68
2017-10-03 00:51:15,67
2017-10-03 00:51:25,67
2017-10-03 00:51:30,67
2017-10-03 00:51:35,64
2017-10-03 00:51:45,66
2017-10-03 00:51:50,68
2017-10-03 00:51:55,69
2017-10-03 00:52:00,65
2017-10-03 00:52:07,63
2017-10-03 00:52:12,65
2017-10-03 00:52:17,66
2017-10-03 00:52:22,67
2017-10-03 00:52:27,68
2017-10-03 00:52:32,66
2017-10-03 00:52:37,65
2017-10-03 00:52:42,66
2017-10-03 00:52:57,66
2017-10-03 00:53:07,67
2017-10-03 00:53:22,67
2017-10-03 00:53:37,67
2017-10-03 00:53:52,68
2017-10-03 00:53:57,65
2017-10-03 00:54:07,67
2017-10-03 00:54:12,68
2017-10-03 00:54:17,67
2017-10-03 00:54:32,67
2017-10-03 00:54:42,70
2017-10-03 00:54:47,66
2017-10-03 00:54:52,63
2017-10-03 00:54:57,64
2017-10-03 00:55:02,65
2017-10-03 00:55:12,67
2017-10-03 00:55:22,65
2017-10-03 00:55:27,66
2017-10-03 00:55:37,60
2017-10-03 00:55:44,60
2017-10-03 00:55:49,64
2017-10-03 00:55:54,63
2017-10-03 00:55:59,62
2017-10-03 00:56:04,65
2017-10-03 00:56:09,66
2017-10-03 00:56:14,68
2017-10-03 00:56:19,61
2017-10-03 00:56:24,60
2017-10-03 00:56:29,63
2017-10-03 00:56:34,64
2017-10-03 00:56:44,66
2017-10-03 00:56:49,68
2017-10-03 00:56:54,69
2017-10-03 00:56:59,64
2017-10-03 00:57:04,62
2017-10-03 00:57:09,63
2017-10-03 00:57:14,64
2017-10-03 00:57:24,65
2017-10-03 00:57:29,67
2017-10-03 00:57:39,66
2017-10-03 00:57:44,65
2017-10-03 00:57:49,66
2017-10-03 00:57:54,67
2017-10-03 00:57:59,68
2017-10-03 00:58:04,68
2017-10-03 00:58:14,64
2017-10-03 00:58:21,62
2017-10-03 00:58:26,63
2017-10-03 00:58:31,65
2017-10-03 00:58:36,65
2017-10-03 00:58:41,68
2017-10-03 00:58:46,69
2017-10-03 00:58:51,68
2017-10-03 00:58:56,65
2017-10-03 00:59:11,65
2017-10-03 00:59:16,66
2017-10-03 00:59:21,65
2017-10-03 00:59:31,77
2017-10-03 00:59:36,67
2017-10-03 00:59:41,63
2017-10-03 00:59:46,64
2017-10-03 00:59:56,63
2017-10-03 01:00:01,64
2017-10-03 01:00:06,63
2017-10-03 01:00:16,64
2017-10-03 01:00:21,66
2017-10-03 01:00:26,68
2017-10-03 01:00:31,64
2017-10-03 01:00:36,63
2017-10-03 01:00:41,63
2017-10-03 01:00:46,64
2017-10-03 01:00:52,61
2017-10-03 01:00:57,60
2017-10-03 01:01:02,61
2017-10-03 01:01:07,63
2017-10-03 01:01:12,65
2017-10-03 01:01:27,68
2017-10-03 01:01:32,65
2017-10-03 01:01:37,62
2017-10-03 01:01:42,65
2017-10-03 01:01:47,64
2017-10-03 01:01:52,66
2017-10-03 01:01:57,73
2017-10-03 01:02:02,65
2017-10-03 01:02:07,62
2017-10-03 01:02:17,63
2017-10-03 01:02:22,69
2017-10-03 01:02:27,62
2017-10-03 01:02:32,60
2017-10-03 01:02:37,60
2017-10-03 01:02:42,66
2017-10-03 01:02:47,68
2017-10-03 01:02:52,62
2017-10-03 01:02:57,63
2017-10-03 01:03:02,64
2017-10-03 01:03:07,65
2017-10-03 01:03:22,65
2017-10-03 01:03:27,67
2017-10-03 01:03:34,66
2017-10-03 01:03:39,62
2017-10-03 01:03:44,63
2017-10-03 01:03:49,64
2017-10-03 01:03:54,65
2017-10-03 01:03:59,68
2017-10-03 01:04:04,70
2017-10-03 01:04:09,66
2017-10-03 01:04:14,63
2017-10-03 01:04:19,62
2017-10-03 01:04:24,63
2017-10-03 01:04:29,66
2017-10-03 01:04:34,67
2017-10-03 01:04:49,66
2017-10-03 01:05:04,68
2017-10-03 01:05:09,67
2017-10-03 01:05:14,65
2017-10-03 01:05:24,66
2017-10-03 01:05:34,65
2017-10-03 01:05:44,66
2017-10-03 01:05:49,69
2017-10-03 01:05:54,66
2017-10-03 01:06:09,66
2017-10-03 01:06:19,65
2017-10-03 01:06:24,68
2017-10-03 01:06:29,71
2017-10-03 01:06:34,67
2017-10-03 01:06:40,70
2017-10-03 01:06:45,72
2017-10-03 01:06:50,65
2017-10-03 01:06:55,66
2017-10-03 01:07:05,61
2017-10-03 01:07:15,64
2017-10-03 01:07:20,65
2017-10-03 01:07:25,64
2017-10-03 01:07:30,61
2017-10-03 01:07:35,63
2017-10-03 01:07:40,68
2017-10-03 01:07:45,63
2017-10-03 01:07:50,61
2017-10-03 01:07:55,62
2017-10-03 01:08:00,63
2017-10-03 01:08:05,63
2017-10-03 01:08:15,64
2017-10-03 01:08:20,66
2017-10-03 01:08:25,63
2017-10-03 01:08:35,67
2017-10-03 01:08:40,70
2017-10-03 01:08:45,63
2017-10-03 01:08:50,62
2017-10-03 01:08:55,62
2017-10-03 01:09:05,63
2017-10-03 01:09:10,74
2017-10-03 01:09:17,83
2017-10-03 01:09:22,72
2017-10-03 01:09:27,67
2017-10-03 01:09:32,66
2017-10-03 01:09:37,69
2017-10-03 01:09:42,68
2017-10-03 01:09:47,65
2017-10-03 01:09:57,63
2017-10-03 01:10:02,59
2017-10-03 01:10:12,61
2017-10-03 01:10:17,66
2017-10-03 01:10:22,69
2017-10-03 01:10:27,66
2017-10-03 01:10:32,65
2017-10-03 01:10:42,67
2017-10-03 01:10:47,69
2017-10-03 01:10:52,64
2017-10-03 01:10:57,63
2017-10-03 01:11:02,62
2017-10-03 01:11:07,63
2017-10-03 01:11:12,64
2017-10-03 01:11:17,63
2017-10-03 01:11:22,65
2017-10-03 01:11:27,67
2017-10-03 01:11:32,66
2017-10-03 01:11:47,63
2017-10-03 01:11:48,63
2017-10-03 01:11:53,61
2017-10-03 01:12:03,63
2017-10-03 01:12:08,69
2017-10-03 01:12:13,67
2017-10-03 01:12:18,63
2017-10-03 01:12:23,64
2017-10-03 01:12:28,64
2017-10-03 01:12:43,64
2017-10-03 01:12:58,64
2017-10-03 01:13:03,73
2017-10-03 01:13:08,68
2017-10-03 01:13:13,62
2017-10-03 01:13:18,61
2017-10-03 01:13:23,65
2017-10-03 01:13:28,66
2017-10-03 01:13:33,61
2017-10-03 01:13:38,60
2017-10-03 01:13:43,62
2017-10-03 01:13:48,63
2017-10-03 01:13:58,68
2017-10-03 01:14:03,67
2017-10-03 01:14:08,65
2017-10-03 01:14:13,64
2017-10-03 01:14:18,66
2017-10-03 01:14:23,69
2017-10-03 01:14:29,61
2017-10-03 01:14:34,59
2017-10-03 01:14:44,60
2017-10-03 01:14:59,61
2017-10-03 01:15:04,61
2017-10-03 01:15:09,60
2017-10-03 01:15:24,60
2017-10-03 01:15:39,60
2017-10-03 01:15:44,61
2017-10-03 01:15:59,62
2017-10-03 01:16:04,63
2017-10-03 01:16:09,64
2017-10-03 01:16:14,62
2017-10-03 01:16:19,63
2017-10-03 01:16:29,62
2017-10-03 01:16:34,61
2017-10-03 01:16:44,63
2017-10-03 01:16:49,61
2017-10-03 01:16:54,61
